sample_id,inference_ms,db_write_ms
318,26.51,2.53
319,26.78,2.11
320,27.11,2.31
321,25.71,2.82
322,27.16,1.6
323,26.4,5.14
324,27.85,1.49
325,27.0,1.37
326,29.29,3.54
327,28.18,3.05
328,27.53,2.86
329,26.55,2.86
330,28.33,2.21
331,26.31,1.55
332,27.07,2.29
333,26.84,1.7
334,26.59,3.29
335,28.27,2.1
336,28.72,1.6
337,27.41,1.96
338,26.57,2.63
339,26.93,1.78
340,26.22,1.6
341,28.96,2.45
342,26.69,2.45
343,26.68,1.82
344,52.04,1.84
345,26.42,2.44
346,27.67,1.25
347,27.88,1.27
348,25.46,1.67
349,27.69,2.04
350,28.03,2.52
351,27.08,4.02
352,27.03,3.14
353,28.84,2.09
354,26.4,2.21
355,27.4,1.49
356,26.94,2.21
357,25.7,1.98
358,27.12,2.53
359,28.13,1.6
360,26.15,2.74
361,39.27,4.11
362,25.81,2.13
363,29.53,2.61
364,26.83,2.93
365,27.06,1.9
366,27.43,2.43
367,27.33,2.24
368,35.44,2.31
369,27.12,1.63
370,26.55,2.25
371,26.32,2.72
372,27.18,3.98
373,27.02,3.27
374,25.98,5.27
375,26.9,1.64
376,28.03,3.15
377,27.91,2.39
378,26.4,5.34
379,26.67,1.61
380,25.57,1.59
381,29.72,1.75
382,27.46,0.95
383,25.34,1.8
384,27.49,1.64
385,27.63,2.36
386,27.47,2.55
387,26.12,4.71
388,26.98,3.25
389,26.01,1.77
390,26.04,1.55
391,40.2,2.71
392,28.95,1.31
393,26.66,4.63
394,27.3,3.57
395,28.22,1.84
396,27.24,1.12
397,26.78,3.82
398,26.98,2.13
399,27.93,3.65
400,25.34,1.18
401,26.27,1.75
402,26.55,2.23
403,26.94,2.27
404,27.9,1.86
405,26.33,2.86
406,27.74,1.45
407,27.06,2.1
408,25.66,2.34
409,27.81,2.73
410,26.3,2.96
411,27.38,1.42
412,26.15,1.2
413,27.68,3.71
414,26.56,2.54
415,26.28,1.65
416,27.01,4.14
417,27.12,2.33
418,25.52,3.57
419,26.57,2.29
420,26.89,5.07
421,25.62,4.49
422,25.89,2.01
423,25.8,3.28
424,25.74,2.88
425,28.5,3.85
426,26.86,1.51
427,27.39,2.93
428,17.76,3.4
429,26.72,1.1
430,26.7,1.39
431,27.69,0.98
432,28.95,2.0
433,27.4,2.97
434,27.17,4.06
435,27.63,2.29
436,27.36,4.27
437,27.1,1.28
438,25.79,1.13
439,27.12,2.18
440,30.73,2.6
441,28.89,2.2
442,26.11,0.97
443,26.5,2.15
444,27.34,1.32
445,25.8,2.91
446,25.98,2.58
447,28.67,1.53
448,26.51,1.81
449,26.34,1.46
450,26.4,2.17
451,28.37,3.26
452,25.71,1.5
453,26.15,2.72
454,28.32,1.8
455,26.6,1.62
456,27.54,2.13
457,25.59,1.47
458,26.8,1.78
459,28.03,1.38
460,27.35,4.88
461,25.8,2.26
462,26.42,1.68
463,26.1,2.42
464,26.26,2.13
465,25.06,2.04
466,26.75,2.85
467,26.68,3.01
468,26.17,1.8
469,27.63,1.77
470,26.4,1.99
471,25.76,0.89
472,28.1,1.21
473,26.3,3.84
474,25.9,4.3
475,26.77,2.01
476,26.44,2.8
477,26.13,2.52
478,27.31,7.63
479,26.37,3.48
480,27.14,2.11
481,26.64,1.52
482,26.2,1.17
483,26.29,2.41
484,60.99,1.64
485,26.83,1.26
486,27.57,1.72
487,26.53,1.44
488,25.95,4.37
489,27.29,3.17
490,29.79,2.22
491,26.38,4.02
492,29.16,2.3
493,27.72,1.58
494,27.36,4.09
495,26.58,2.76
496,25.95,1.47
497,25.81,2.06
498,27.44,1.57
499,27.39,1.28
500,28.35,3.22
501,25.59,4.78
502,26.51,1.27
503,26.96,2.79
504,25.61,1.72
505,27.45,1.83
506,28.22,1.76
507,27.08,1.58
508,26.61,2.27
509,27.08,1.6
510,26.39,2.48
511,26.3,2.18
512,25.96,2.02
513,25.87,1.55
514,28.47,1.77
515,26.13,3.01
516,28.46,2.72
517,27.38,1.51
518,25.86,2.32
519,26.82,3.01
520,26.93,1.14
521,26.93,2.77
522,25.75,1.71
523,27.76,2.8
524,27.86,1.64
525,28.27,1.08
526,26.07,1.16
527,27.68,2.27
528,26.99,2.47
529,26.95,1.55
530,26.08,2.87
531,26.56,1.14
532,26.31,2.17
533,25.78,1.37
534,27.86,1.71
535,27.8,2.27
536,26.34,1.58
537,27.8,1.91
538,26.67,3.33
539,26.2,1.77
540,17.41,3.11
541,26.84,1.42
542,26.73,2.75
543,26.61,3.96
544,26.55,0.83
545,26.53,1.62
546,27.02,2.8
547,26.57,2.05
548,26.61,2.58
549,26.07,1.75
550,27.6,2.3
551,27.1,2.09
552,27.62,3.55
553,27.02,2.46
554,26.47,2.55
555,26.32,1.89
556,27.25,1.83
557,26.88,1.87
558,27.6,2.61
559,25.93,1.88
560,27.77,2.5
