sample_id,inference_ms,db_write_ms
320,1.1,0.3
321,1.13,0.3
322,1.13,0.3
323,1.03,0.3
324,1.02,0.29
325,1.02,0.3
326,1.02,0.3
327,1.07,0.3
328,1.02,0.3
329,1.06,0.3
330,1.01,0.3
331,1.02,0.3
332,1.08,0.29
333,1.03,0.29
334,1.1,0.3
335,1.04,0.29
336,1.08,0.3
337,1.04,0.29
338,1.08,0.3
339,1.05,0.3
340,1.07,0.3
341,1.06,0.34
342,1.07,0.58
343,1.13,0.3
344,1.08,0.3
345,1.08,0.3
346,1.12,0.3
347,1.07,0.29
348,1.07,0.3
349,1.07,0.35
350,1.06,0.3
351,1.08,0.3
352,1.05,0.29
353,1.0,0.28
354,1.0,0.28
355,1.06,0.35
356,1.06,1.17
357,0.98,0.33
358,1.07,0.35
359,1.12,0.31
360,0.98,0.31
361,1.11,0.32
362,1.12,0.32
363,1.17,0.32
364,1.16,0.32
365,1.1,0.28
366,1.01,0.28
367,1.0,0.28
368,1.0,0.28
369,1.0,0.28
370,1.0,0.34
371,0.99,0.28
372,0.99,0.28
373,0.98,0.28
374,1.05,0.3
375,1.05,0.3
376,1.05,0.3
377,1.0,0.35
378,1.03,0.3
379,1.07,0.3
380,1.05,0.3
381,1.01,0.31
382,1.05,0.3
383,1.2,0.31
384,1.23,0.3
385,1.19,0.3
386,1.22,0.29
387,1.2,0.34
388,1.2,0.29
389,1.2,0.36
390,1.2,0.29
391,1.2,0.29
392,1.2,0.28
393,1.22,0.31
394,1.2,0.28
395,1.2,0.34
396,1.28,2.72
397,1.24,2.38
398,1.05,0.28
399,0.97,0.29
400,1.01,0.27
401,0.98,0.28
402,0.99,0.28
403,0.97,0.28
404,1.0,0.28
405,1.04,0.29
406,0.96,0.28
407,1.06,0.28
408,1.0,0.28
409,0.94,0.31
410,1.05,0.28
411,1.05,0.29
412,1.0,0.33
413,1.03,0.29
414,1.09,0.29
415,1.07,0.28
416,1.24,0.35
417,1.26,0.35
418,1.19,0.36
419,1.2,0.36
420,1.2,0.36
421,1.19,0.37
422,1.31,0.35
423,1.24,0.38
424,1.19,0.35
425,1.03,0.27
426,1.01,0.27
427,0.96,0.31
428,0.96,0.27
429,0.95,0.27
430,0.97,0.27
431,0.97,0.27
432,0.94,0.27
433,0.97,0.27
434,0.98,0.28
435,1.05,0.29
436,0.99,0.29
437,1.0,0.29
438,1.0,0.33
439,1.02,0.29
440,1.03,0.28
441,1.05,0.28
442,1.0,0.28
443,1.0,0.28
444,1.0,0.28
445,1.0,0.28
446,1.03,0.29
